customer_id,Customer,Gender,Income,Employment Status,Education,Marital Status,Country,State Code,Location Type,Policy Name,Policy Type,Number of Policies,Premium Per Month,Coverage,Sales Channel,Vehicle Type,Vehicle Size,date,Claim Reason,Claim Demanded,Claim Sanctioned,Number of Open Complaints,Response,Months Since Last Claim,Months Since Policy Inspection
77,XW13033,M,20961,Employed,College,Married,US,OK,Suburban,Personal L1,Personal Auto,2,67,Basic,Agent,Four-Door Car,Medsize,2/15/11,Hail,800.9472833,321.6,0,No,20,33
78,LN31673,M,38923,Employed,College,Married,US,KS,Rural,Personal L3,Personal Auto,2,99,Extended,Agent,Four-Door Car,Medsize,2/6/11,Collision,1131.808982,115.728852,2,No,6,83
79,OM82309,M,61321,Employed,Bachelor,Single,US,MO,Rural,Personal L3,Personal Auto,2,186,Basic,Branch,Luxury Car,Small,2/27/11,Hail,5816.655350999999,427.63120999999995,1,No,0,30
80,ZU35962,F,0,Unemployed,College,Single,US,MO,Rural,Personal L3,Personal Auto,2,77,Extended,Branch,Two-Door Car,Large,1/26/11,Scratch/Dent,802.5229357999999,25.807685,0,No,20,26
81,VH85817,M,51066,Employed,High School or Below,Single,US,MO,Suburban,Personal L3,Personal Auto,8,74,Basic,Call Center,Four-Door Car,Medsize,2/26/11,Hail,578.0182197,787.993313,0,Yes,23,0
82,DT85712,M,34378,Employed,Doctor,Married,US,MO,Suburban,Personal L1,Personal Auto,1,102,Basic,Branch,SUV,Medsize,1/27/11,Scratch/Dent,411.8539113,489.6,0,No,12,54
83,YJ88573,M,43072,Employed,Master,Married,US,OK,Suburban,Personal L3,Personal Auto,1,63,Basic,Call Center,Four-Door Car,Large,1/16/11,Hail,252.30701499999998,302.4,0,No,35,15
84,SQ19467,F,25222,Disabled,College,Single,US,IA,Suburban,Personal L3,Personal Auto,3,90,Extended,Agent,Four-Door Car,Small,1/27/11,Hail,655.4216396,475.623251,0,No,28,69
85,HF88410,M,36765,Employed,High School or Below,Married,US,KS,Suburban,Personal L2,Personal Auto,2,66,Basic,Call Center,Four-Door Car,Medsize,2/28/11,Collision,770.3397294,320.84907200000004,1,No,15,32
86,ET79815,M,23091,Retired,College,Married,US,MO,Suburban,Personal L1,Personal Auto,5,96,Extended,Agent,Four-Door Car,Medsize,1/25/11,Collision,592.6729379,460.8,5,Yes,28,90
87,QC35222,F,48269,Employed,Bachelor,Married,US,MO,Urban,Corporate L2,Corporate Auto,1,69,Basic,Web,Four-Door Car,Medsize,1/1/11,Scratch/Dent,268.34706769999997,282.151207,3,No,3,79
88,CJ15590,F,32720,Employed,Bachelor,Divorced,US,IA,Suburban,Personal L2,Personal Auto,1,67,Basic,Branch,Four-Door Car,Medsize,2/1/11,Scratch/Dent,269.51824189999996,321.6,0,No,13,12
89,OI48267,M,20396,Employed,College,Married,US,MO,Suburban,Personal L3,Personal Auto,4,76,Extended,Branch,Four-Door Car,Medsize,2/19/11,Collision,604.7025160000001,364.8,1,Yes,15,60
90,JY67916,M,21513,Medical Leave,College,Married,US,IA,Suburban,Personal L3,Personal Auto,2,119,Premium,Branch,Two-Door Car,Small,1/27/11,Hail,1317.101282,679.827592,1,No,21,81
91,OE75231,F,72540,Employed,Bachelor,Married,US,KS,Suburban,Corporate L3,Corporate Auto,2,88,Extended,Call Center,Two-Door Car,Medsize,2/27/11,Hail,1065.688195,631.743039,0,Yes,7,3
92,CZ33664,F,80744,Employed,Bachelor,Married,US,IA,Rural,Corporate L3,Corporate Auto,1,63,Basic,Agent,Four-Door Car,Medsize,1/17/11,Collision,252.76537960000002,11.879037,0,No,24,84
93,WK30175,M,52822,Employed,Bachelor,Married,US,IA,Suburban,Corporate L1,Corporate Auto,1,67,Basic,Branch,Two-Door Car,Small,2/10/11,Collision,267.2095756,350.529033,0,No,23,88
94,ON44465,F,0,Unemployed,High School or Below,Single,US,MO,Suburban,Personal L2,Personal Auto,9,77,Extended,Agent,Four-Door Car,Medsize,1/24/11,Collision,531.3294035,863.3947,1,No,8,10
95,TV87155,F,69738,Employed,Bachelor,Married,US,IA,Suburban,Personal L3,Personal Auto,2,74,Basic,Branch,Four-Door Car,Large,2/24/11,Collision,2094.619251,492.12753200000003,1,No,2,26
96,KH48895,F,17780,Medical Leave,Master,Married,US,NE,Rural,Personal L3,Personal Auto,9,109,Basic,Branch,SUV,Medsize,2/15/11,Collision,837.5353928999999,132.58828799999998,0,No,12,18
97,NZ30757,M,18107,Medical Leave,Bachelor,Married,US,MO,Suburban,Personal L2,Personal Auto,8,62,Basic,Agent,Four-Door Car,Medsize,2/16/11,Collision,480.1661503,297.6,0,No,29,11
98,RI22468,F,57740,Employed,Bachelor,Married,US,NE,Urban,Personal L1,Personal Auto,9,74,Basic,Web,Four-Door Car,Medsize,1/22/11,Scratch/Dent,574.594334,269.905129,3,No,30,87
99,FZ30935,M,32627,Employed,College,Married,US,IA,Suburban,Personal L2,Personal Auto,7,76,Extended,Agent,Two-Door Car,Small,2/25/11,Collision,606.6115969,380.036697,0,No,11,60
100,UG93476,F,0,Unemployed,College,Married,US,MO,Suburban,Personal L3,Personal Auto,3,107,Basic,Agent,SUV,Medsize,1/11/11,Collision,800.2308333,513.6,0,Yes,3,65
101,AB96670,M,0,Unemployed,College,Single,US,MO,Suburban,Personal L1,Personal Auto,1,70,Basic,Branch,Four-Door Car,Medsize,1/31/11,Collision,239.3915369,425.266308,0,Yes,24,10
102,XK64261,M,65795,Employed,Bachelor,Single,US,IA,Rural,Corporate L3,Corporate Auto,3,62,Basic,Call Center,Two-Door Car,Medsize,1/12/11,Scratch/Dent,476.28179000000006,49.011099,1,No,2,85
103,EV68375,M,60475,Employed,College,Married,US,MO,Suburban,Personal L3,Personal Auto,1,107,Premium,Branch,Four-Door Car,Medsize,2/16/11,Hail,433.03860199999997,513.6,0,Yes,9,18
104,UN51653,F,0,Unemployed,High School or Below,Single,US,MO,Suburban,Personal L3,Personal Auto,4,130,Extended,Web,SUV,Medsize,2/9/11,Collision,940.2729768999999,936.0,0,No,28,88
105,TO96662,F,41837,Employed,Bachelor,Married,US,IA,Rural,Personal L3,Personal Auto,9,88,Extended,Call Center,Four-Door Car,Small,1/19/11,Collision,696.6694527000001,142.062768,0,No,29,93
106,MR52087,F,32303,Employed,Bachelor,Married,US,MO,Rural,Personal L1,Personal Auto,2,65,Basic,Branch,Four-Door Car,Medsize,1/4/11,Scratch/Dent,769.4064293,45.152521,0,No,13,34
107,DE75225,M,0,Unemployed,High School or Below,Married,US,IA,Suburban,Personal L1,Personal Auto,3,117,Basic,Agent,SUV,Medsize,1/9/11,Collision,871.7561149000001,561.6,1,No,5,89
108,EP80820,F,40531,Employed,Bachelor,Married,US,MO,Rural,Personal L3,Personal Auto,9,74,Basic,Agent,Two-Door Car,Medsize,1/27/11,Collision,592.8748528,30.567357,0,No,17,32
109,GU99037,M,79898,Employed,College,Married,US,IA,Urban,Corporate L1,Corporate Auto,1,62,Basic,Agent,Four-Door Car,Medsize,2/14/11,Other,245.29772880000002,271.606799,1,No,5,86
110,WI57118,M,56398,Employed,College,Married,US,MO,Suburban,Personal L3,Personal Auto,7,85,Extended,Agent,Four-Door Car,Small,2/27/11,Other,670.1571657000001,408.0,0,No,4,18
111,YQ74870,M,35257,Employed,High School or Below,Divorced,US,KS,Suburban,Corporate L2,Corporate Auto,8,98,Extended,Web,Four-Door Car,Small,2/12/11,Hail,755.6240339999999,470.4,1,No,16,2
112,MQ14219,M,27804,Employed,College,Married,US,NE,Suburban,Personal L3,Personal Auto,7,109,Basic,Branch,SUV,Medsize,2/26/11,Hail,849.2698800000001,784.8,0,No,19,54
113,KN20603,M,45506,Employed,Bachelor,Single,US,IA,Suburban,Personal L3,Personal Auto,2,66,Basic,Agent,Four-Door Car,Medsize,2/20/11,Collision,771.3494046,316.8,2,No,16,32
114,CR48975,M,65196,Employed,High School or Below,Married,US,KS,Suburban,Personal L2,Personal Auto,2,67,Basic,Branch,Four-Door Car,Medsize,2/2/11,Other,2408.45352,396.08203599999996,0,No,0,54
115,JI70886,M,0,Unemployed,High School or Below,Married,US,MO,Suburban,Corporate L2,Corporate Auto,3,102,Basic,Agent,SUV,Medsize,2/15/11,Collision,729.0069768999999,489.6,1,No,11,70
116,VF72557,M,20993,Retired,High School or Below,Divorced,US,IA,Suburban,Personal L3,Personal Auto,1,133,Extended,Agent,SUV,Medsize,2/18/11,Hail,477.29438480000005,638.4,0,Yes,35,90
117,OX28638,M,37839,Employed,High School or Below,Married,US,NE,Suburban,Personal L3,Personal Auto,9,86,Extended,Branch,Two-Door Car,Medsize,1/21/11,Hail,680.6491394999999,465.633954,0,No,35,77
118,SK55033,F,92711,Employed,Bachelor,Single,US,MO,Suburban,Personal L2,Personal Auto,1,62,Basic,Agent,Two-Door Car,Medsize,1/15/11,Scratch/Dent,246.97813340000002,368.400146,0,No,24,10
119,OO88645,F,74665,Employed,College,Married,US,MO,Urban,Corporate L2,Corporate Auto,1,78,Extended,Call Center,Four-Door Car,Medsize,2/5/11,Hail,310.39230410000005,236.90200099999998,2,No,10,90
120,YT36855,M,0,Unemployed,College,Married,US,KS,Suburban,Personal L2,Personal Auto,1,83,Extended,Web,Two-Door Car,Medsize,2/24/11,Scratch/Dent,298.1875575,582.679087,0,No,26,89
121,CW82151,M,46833,Employed,Bachelor,Married,US,MO,Rural,Personal L3,Personal Auto,9,112,Basic,Call Center,Sports Car,Medsize,1/5/11,Collision,890.2737595000001,64.109663,0,No,6,3
122,DY22043,F,88768,Employed,High School or Below,Married,US,IA,Suburban,Personal L3,Personal Auto,7,68,Basic,Branch,Two-Door Car,Small,1/28/11,Scratch/Dent,549.9447223,326.4,0,No,17,77
123,SH36774,M,28262,Employed,High School or Below,Single,US,MO,Suburban,Personal L3,Personal Auto,3,192,Basic,Web,Luxury SUV,Medsize,1/12/11,Scratch/Dent,1502.359858,921.6,0,No,9,77
124,EM43724,F,33555,Employed,Bachelor,Married,US,OK,Rural,Personal L3,Personal Auto,1,63,Basic,Agent,Four-Door Car,Medsize,2/16/11,Collision,250.9107875,101.89645,0,No,17,11
125,FH85960,M,42780,Employed,College,Divorced,US,IA,Suburban,Personal L2,Personal Auto,2,113,Premium,Call Center,Four-Door Car,Medsize,1/3/11,Collision,3122.17481,542.4,1,No,10,27
126,XA55993,F,58850,Employed,Master,Single,US,IA,Rural,Personal L3,Personal Auto,1,78,Extended,Branch,Four-Door Car,Medsize,2/7/11,Hail,313.3503432,143.747794,0,No,20,26
127,GO36627,M,21880,Employed,College,Married,US,NE,Urban,Special L2,Special Auto,1,97,Extended,Branch,Four-Door Car,Medsize,1/13/11,Collision,383.7451863,424.077159,0,No,29,37
128,QH48047,M,25251,Retired,College,Divorced,US,IA,Suburban,Personal L2,Personal Auto,2,66,Basic,Web,Four-Door Car,Medsize,1/3/11,Hail,1179.049617,316.8,0,Yes,13,43
129,RB50392,F,0,Unemployed,Master,Married,US,KS,Rural,Personal L1,Personal Auto,2,69,Basic,Agent,Four-Door Car,Medsize,2/17/11,Hail,783.8068321000001,2.704934,0,No,9,12
130,UH65059,M,24188,Employed,High School or Below,Married,US,NE,Suburban,Personal L3,Personal Auto,1,109,Basic,Agent,Sports Car,Medsize,1/21/11,Collision,430.5808345,523.2,0,No,14,82
131,FV21968,F,41611,Employed,Bachelor,Married,US,OK,Rural,Special L2,Special Auto,8,74,Basic,Branch,Four-Door Car,Medsize,1/26/11,Collision,597.3976904,113.801497,0,No,14,8
132,QA87025,F,28406,Employed,Bachelor,Married,US,IA,Urban,Personal L3,Personal Auto,4,72,Basic,Call Center,Four-Door Car,Medsize,1/31/11,Collision,567.0442396000001,192.87572,1,No,16,35
